,cusip,tic,ticker,extraction_info,totals,extracted,errors,flag_tag,move_error
3771,204620207,CHCR,CHCR,"23, 23, 0, []",23,23,0,1,0
3816,205826209,CMTL,CMTL,"25, 25, 0, []",25,25,0,1,0
3829,205887102,CAG,CAG,"26, 26, 0, []",26,26,0,1,0
3887,207797101,CTWS,CTWS,"25, 25, 0, []",25,25,0,1,0
3899,208254862,CNLG,CNLG,"9, 9, 0, []",9,9,0,1,0
3905,876287103,TARRQ,TARRQ,"11, 11, 0, []",11,11,0,1,0
3907,893617209,TCI,TCI,"25, 25, 0, []",25,25,0,1,0
3931,209115104,ED,ED,"23, 23, 0, []",23,23,0,1,0
3987,125896100,CMS,CMS,"27, 27, 0, []",27,27,0,1,0
4014,212015101,CLR,CLR,"19, 19, 0, []",19,19,0,1,0
4028,G24140108,CBE,CBE,"10, 10, 0, []",10,10,0,1,0
4058,60871R209,TAP,TAP,"27, 27, 0, []",27,27,0,1,0
4089,219350105,GLW,GLW,"27, 27, 0, []",27,27,0,1,0
4102,219387107,CNIG,CNIG,"7, 7, 0, []",7,7,0,1,0
4141,222660102,CRRC,CRRC,"20, 20, 0, []",20,20,0,1,0
4149,222795502,CUZ,CUZ,"27, 27, 0, []",27,27,0,1,0
4200,224633206,CRD.A,CRDA,"25, 25, 0, []",25,25,0,1,0
4272,228309100,CRWS,CRWS,"25, 25, 0, []",25,25,0,1,0
4285,229669106,CUB,CUB,"26, 26, 0, []",26,26,0,1,0
4374,233326107,DST,DST,"22, 22, 0, []",22,22,0,1,0
4423,237690102,DAIO,DAIO,"25, 25, 0, []",25,25,0,1,0
4445,238113104,DSCP,DSCP,"14, 14, 0, []",14,14,0,1,0
4539,23328R206,DGTC,DGTC,"16, 16, 0, []",16,16,0,1,0
4571,247748106,DGAS,DGAS,"24, 24, 0, []",24,24,0,1,0
4582,248019101,DLX,DLX,"27, 27, 0, []",27,27,0,1,0
4594,449020205,HTEC.1,HTEC,"12, 12, 0, []",12,12,0,1,0
4620,00737L103,ATGE,ATGE,"24, 24, 0, []",24,24,0,1,0
4714,254546104,DNEX,DNEX,"16, 16, 0, []",16,16,0,1,0
4811,25820R105,DMLP,DMLP,"18, 18, 0, []",18,18,0,1,0
4826,973146103,WNEA,WNEA,"3, 3, 0, []",3,3,0,1,0
4915,264147109,DCO,DCO,"25, 25, 0, []",25,25,0,1,0
4940,26483E100,DNB,DNB,"18, 18, 0, []",18,18,0,1,0
4976,268157401,DYNT,DYNT,"13, 13, 0, []",13,13,0,1,0
5134,278865100,ECL,ECL,"27, 27, 0, []",27,27,0,1,0
5147,281479105,EDUC,EDUC,"23, 23, 0, []",23,23,0,1,0
5195,285229100,ESIO,ESIO,"24, 24, 0, []",24,24,0,1,0
5207,285233102,ELSE,ELSE,"11, 11, 0, []",11,11,0,1,0
5220,26873N108,ELMG,ELMG,"17, 17, 0, []",17,17,0,1,0
5259,291087203,MSN,MSN,"25, 25, 0, []",25,25,0,1,0
5272,291641108,EDE,EDE,"22, 22, 0, []",22,22,0,1,0
5301,29265N108,EGN,EGN,"24, 24, 0, []",24,24,0,1,0
5342,56585W401,MARA,MARA,"8, 8, 0, []",8,8,0,1,0
5412,294429105,EFX,EFX,"26, 26, 0, []",26,26,0,1,0
5450,296056104,ESCA,ESCA,"25, 25, 0, []",25,25,0,1,0
5527,496719105,KINS,KINS,"12, 12, 0, []",12,12,0,1,0
5584,30231G102,XOM,XOM,"27, 27, 0, []",27,27,0,1,0
5596,302491303,FMC,FMC,"27, 27, 0, []",27,27,0,1,0
5635,307000109,FDO,FDO,"20, 20, 0, []",20,20,0,1,0
5658,31428X106,FDX,FDX,"22, 22, 0, []",22,22,0,1,0
5694,313586109,FNMA,FNMA,"18, 18, 0, []",18,18,0,1,0
5744,19329V105,COLE,COLE,"5, 5, 0, []",5,5,0,1,0
5772,55616P104,M,M,"25, 25, 0, []",25,25,0,1,0
5835,806373106,SGK,SGK,"20, 20, 0, []",20,20,0,1,0
5939,31946M103,FCNCA,FCNCA,"25, 25, 0, []",25,25,0,1,0
5963,30246C104,FCIC,FCIC,"11, 11, 0, []",11,11,0,1,0
6040,320517105,FHN,FHN,"27, 27, 0, []",27,27,0,1,0
6086,338517105,BDL,BDL,"20, 20, 0, []",20,20,0,1,0
6111,339099103,FLTWQ,FLTWQ,"15, 15, 0, []",15,15,0,1,0
6153,341140101,FRK,FRK,"14, 14, 0, []",14,14,0,1,0
6154,343468104,FLOW.1,FLOW,"5, 5, 0, []",5,5,0,1,0
6266,350060109,FSTR,FSTR,"25, 25, 0, []",25,25,0,1,0
6278,H27178104,FWLT,FWLT,"13, 13, 0, []",13,13,0,1,0
6432,87901J105,TGNA,TGNA,"27, 27, 0, []",27,27,0,1,0
6444,364760108,GPS,GPS,"26, 26, 0, []",26,26,0,1,0
6604,784635104,SPXC,SPXC,"27, 27, 0, []",27,27,0,1,0
6617,371532102,GCO,GCO,"26, 26, 0, []",26,26,0,1,0
6698,375175304,GIGA,GIGA,"22, 22, 0, []",22,22,0,1,0
6711,377316104,GLT,GLT,"27, 27, 0, []",27,27,0,1,0
6763,96536P105,WTMK,WTMK,"10, 10, 0, []",10,10,0,1,0
6828,38388F108,GRA,GRA,"23, 23, 0, []",23,23,0,1,0
6854,384556106,GHM,GHM,"24, 24, 0, []",24,24,0,1,0
6880,389375106,GTN,GTN,"24, 24, 0, []",24,24,0,1,0
6961,60935Y208,MGI,MGI,"16, 16, 0, []",16,16,0,1,0
7051,404232100,HMG,HMG,"11, 11, 0, []",11,11,0,1,0
7064,405752106,HALX,HALX,"14, 14, 0, []",14,14,0,1,0
7080,406364406,HWG,HWG,"20, 20, 0, []",20,20,0,1,0
7100,410252100,HDLM,HDLM,"19, 19, 0, []",19,19,0,1,0
7162,019330109,AMOT,AMOT,"25, 25, 0, []",25,25,0,1,0
7174,419596101,HVT,HVT,"26, 26, 0, []",26,26,0,1,0
7199,419870100,HE,HE,"27, 27, 0, []",27,27,0,1,0
7211,420261109,HWKN,HWKN,"25, 25, 0, []",25,25,0,1,0
7236,95040Q104,WELL,WELL,"26, 26, 0, []",26,26,0,1,0
7262,859241101,STRL,STRL,"25, 25, 0, []",25,25,0,1,0
7274,422704106,HL,HL,"26, 26, 0, []",26,26,0,1,0
7287,422806109,HEI,HEI,"25, 25, 0, []",25,25,0,1,0
7327,423452101,HP,HP,"26, 26, 0, []",26,26,0,1,0
7383,40434L105,HPQ,HPQ,"27, 27, 0, []",27,27,0,1,0
7409,22511P100,CRAWA,CRAWA,"20, 20, 0, []",20,20,0,1,0
7497,43739D307,HOFD,HOFD,"23, 23, 0, []",23,23,0,1,0
7559,85590A401,HOT,HOT,"21, 21, 0, []",21,21,0,1,0
7588,15189T107,CNP,CNP,"19, 19, 0, []",19,19,0,1,0
7639,443510607,HUBB,HUBB,"27, 27, 0, []",27,27,0,1,0
7717,448407106,HTCH,HTCH,"22, 22, 0, []",22,22,0,1,0
7783,232674507,CYPB,CYPB,"15, 15, 0, []",15,15,0,1,0
7846,451107106,IDA,IDA,"22, 22, 0, []",22,22,0,1,0
7872,87960W104,TLGT,TLGT,"21, 21, 0, []",21,21,0,1,0
7979,457647105,INVX,INVX,"14, 14, 0, []",14,14,0,1,0
8111,459200101,IBM,IBM,"27, 27, 0, []",27,27,0,1,0
8166,45867G101,IDCC,IDCC,"13, 13, 0, []",13,13,0,1,0
8199,46270W105,IRIS,IRIS,"17, 17, 0, []",17,17,0,1,0
8254,460690100,IPG,IPG,"27, 27, 0, []",27,27,0,1,0
8351,469814107,J,J,"26, 26, 0, []",26,26,0,1,0
8364,29084Q100,EME,EME,"24, 24, 0, []",24,24,0,1,0
8465,482480100,KLAC,KLAC,"26, 26, 0, []",26,26,0,1,0
8490,71722R108,ANTP,ANTP,"5, 5, 0, []",5,5,0,1,0
8510,74158E104,PNRG,PNRG,"18, 18, 0, []",18,18,0,1,0
8543,361086101,FRM,FRM,"21, 21, 0, []",21,21,0,1,0
8586,485170302,KSU,KSU,"27, 27, 0, []",27,27,0,1,0
8599,30034W106,EVRG,EVRG,"2, 2, 0, []",2,2,0,1,0
8636,487836108,K,K,"27, 27, 0, []",27,27,0,1,0
8649,488044108,KWD,KWD,"14, 14, 0, []",14,14,0,1,0
8650,488152208,KELYA,KELYA,"27, 27, 0, []",27,27,0,1,0
8702,492854104,KEQU,KEQU,"25, 25, 0, []",25,25,0,1,0
8715,493144109,KTCC,KTCC,"24, 24, 0, []",24,24,0,1,0
8735,494274103,KBAL,KBAL,"26, 26, 0, []",26,26,0,1,0
8815,501044101,KR,KR,"26, 26, 0, []",26,26,0,1,0
8918,505336107,LZB,LZB,"26, 26, 0, []",26,26,0,1,0
8944,512807108,LRCX,LRCX,"25, 25, 0, []",25,25,0,1,0
8970,833551104,LNCE,LNCE,"24, 24, 0, []",24,24,0,1,0
8981,70455G107,PCGR,PCGR,"16, 16, 0, []",16,16,0,1,0
8989,517905105,LMTI,LMTI,"2, 2, 0, []",2,2,0,1,0
8991,054546106,AXSI,AXSI,"2, 2, 0, []",2,2,0,1,0
9006,521078105,LKII,LKII,"15, 15, 0, []",15,15,0,1,0
9008,523768109,LEE,LEE,"26, 26, 0, []",26,26,0,1,0
9021,524660107,LEG,LEG,"27, 27, 0, []",27,27,0,1,0
9068,526057104,LEN,LEN,"22, 22, 0, []",22,22,0,1,0
9301,543162101,LDG,LDG,"15, 15, 0, []",15,15,0,1,0
9303,20038K109,CFS,CFS,"16, 16, 0, []",16,16,0,1,0
9344,549271104,LZ,LZ,"18, 18, 0, []",18,18,0,1,0
9396,321006504,FMFN,FMFN,"12, 12, 0, []",12,12,0,1,0
9493,560377103,MAM,MAM,"7, 7, 0, []",7,7,0,1,0
9597,571748102,MMC,MMC,"26, 26, 0, []",26,26,0,1,0
9618,574599106,MAS,MAS,"27, 27, 0, []",27,27,0,1,0
9657,576674105,MASC,MASC,"19, 19, 0, []",19,19,0,1,0
9722,578473100,MAYS,MAYS,"25, 25, 0, []",25,25,0,1,0
9735,579780206,MKC,MKC,"27, 27, 0, []",27,27,0,1,0
9797,58155Q103,MCK,MCK,"25, 25, 0, []",25,25,0,1,0
9898,126650100,CVS,CVS,"27, 27, 0, []",27,27,0,1,0
9981,590660106,MTR,MTR,"24, 24, 0, []",24,24,0,1,0
9995,590672101,MSB,MSB,"24, 24, 0, []",24,24,0,1,0
10169,29364G103,ETR,ETR,"26, 26, 0, []",26,26,0,1,0
10196,598626307,MKRS,MKRS,"16, 16, 0, []",16,16,0,1,0
10262,88579Y101,MMM,MMM,"28, 28, 0, []",28,28,0,1,0
10288,605203108,MSWP,MSWP,"14, 14, 0, []",14,14,0,1,0
10395,609720107,MNR,MNR,"25, 25, 0, []",25,25,0,1,0
10421,74838J101,QDEL,QDEL,"25, 25, 0, []",25,25,0,1,0
10454,615394202,MOG.A,MOGA,"26, 26, 0, []",26,26,0,1,0
10467,781182100,RT,RT,"24, 24, 0, []",24,24,0,1,0
10491,620076307,MSI,MSI,"27, 27, 0, []",27,27,0,1,0
10561,N59465109,MYL,MYL,"5, 5, 0, []",5,5,0,1,0
10600,62886E108,NCR,NCR,"24, 24, 0, []",24,24,0,1,0
10639,09061H307,BMRA,BMRA,"11, 11, 0, []",11,11,0,1,0
10711,636180101,NFG,NFG,"26, 26, 0, []",26,26,0,1,0
10724,635906100,NHC,NHC,"23, 23, 0, []",23,23,0,1,0
10736,88033G407,THC,THC,"27, 27, 0, []",27,27,0,1,0
10813,637640103,NSM.2,NSM,"6, 6, 0, []",6,6,0,1,0
10891,29266M109,EAS,EAS,"10, 10, 0, []",10,10,0,1,0
10892,67075V100,NUVR,NUVR,"24, 24, 0, []",24,24,0,1,0
10929,651639106,NEM,NEM,"19, 19, 0, []",19,19,0,1,0
11050,655664100,JWN,JWN,"26, 26, 0, []",26,26,0,1,0
11131,30040W108,ES,ES,"27, 27, 0, []",27,27,0,1,0
11160,98389B100,XEL,XEL,"27, 27, 0, []",27,27,0,1,0
11217,666807102,NOC,NOC,"19, 19, 0, []",19,19,0,1,0
11243,66765N105,NWN,NWN,"2, 2, 0, []",2,2,0,1,0
11267,111381109,BVII,BVII,"6, 6, 0, []",6,6,0,1,0
11288,949746101,WFC,WFC,"27, 27, 0, []",27,27,0,1,0
11333,670346105,NUE,NUE,"27, 27, 0, []",27,27,0,1,0
11354,90345G109,USAE,USAE,"2, 2, 0, []",2,2,0,1,0
11361,670841105,OICO,OICO,"15, 15, 0, []",15,15,0,1,0
11429,675239107,OCEX,OCEX,"4, 4, 0, []",4,4,0,1,0
11432,46564T107,ITI,ITI,"24, 24, 0, []",24,24,0,1,0
11529,681904108,OCR,OCR,"21, 21, 0, []",21,21,0,1,0
11574,683818207,OPTC,OPTC,"15, 15, 0, []",15,15,0,1,0
11722,693475105,PNC,PNC,"27, 27, 0, []",27,27,0,1,0
11748,693506107,PPG,PPG,"27, 27, 0, []",27,27,0,1,0
11848,52729D300,LVCI,LVCI,"4, 4, 0, []",4,4,0,1,0
11857,698884103,PAR,PAR,"24, 24, 0, []",24,24,0,1,0
11876,699058103,PARF,PARF,"11, 11, 0, []",11,11,0,1,0
11972,703343103,PATK,PATK,"25, 25, 0, []",25,25,0,1,0
11997,693519209,PPTV,PPTV,"7, 7, 0, []",7,7,0,1,0
12011,69345P103,PMFG,PMFG,"8, 8, 0, []",8,8,0,1,0
12097,709102107,PEI,PEI,"25, 25, 0, []",25,25,0,1,0
12121,G7S00T104,PNR,PNR,"27, 27, 0, []",27,27,0,1,0
12181,714236106,PBT,PBT,"24, 24, 0, []",24,24,0,1,0
12232,30161N101,EXC,EXC,"20, 20, 0, []",20,20,0,1,0
12395,724479100,PBI,PBI,"27, 27, 0, []",27,27,0,1,0
12446,728117300,PLA.3,PLA,"12, 12, 0, []",12,12,0,1,0
12509,739128106,POWL,POWL,"25, 25, 0, []",25,25,0,1,0
12546,740065107,PPD.1,PPD,"16, 16, 0, []",16,16,0,1,0
12574,742578107,PTNX,PTNX,"13, 13, 0, []",13,13,0,1,0
12591,03999V934,ASN,ASN,"6, 6, 0, []",6,6,0,1,0
12659,744573106,PEG,PEG,"27, 27, 0, []",27,27,0,1,0
12779,032332504,ASYS,ASYS,"25, 25, 0, []",25,25,0,1,0
12826,749056107,QUIX,QUIX,"15, 15, 0, []",15,15,0,1,0
12984,75990K505,RLBY.1,RLBY,"23, 23, 0, []",23,23,0,1,0
13022,05329W102,AN,AN,"25, 25, 0, []",25,25,0,1,0
13056,763165107,RELL,RELL,"26, 26, 0, []",26,26,0,1,0
13106,767754872,RAD,RAD,"26, 26, 0, []",26,26,0,1,0
13119,74955L103,RGCO,RGCO,"21, 21, 0, []",21,21,0,1,0
13154,774725105,RMMI,RMMI,"13, 13, 0, []",13,13,0,1,0
13228,G7665A101,RDC,RDC,"26, 26, 0, []",26,26,0,1,0
13267,783549108,R,R,"27, 27, 0, []",27,27,0,1,0
13327,784305104,SJW,SJW,"27, 27, 0, []",27,27,0,1,0
13339,784413106,SLI,SLI,"21, 21, 0, []",21,21,0,1,0
13363,785688102,SBR,SBR,"25, 25, 0, []",25,25,0,1,0
13376,786429100,SAF.3,SAF,"15, 15, 0, []",15,15,0,1,0
13390,786514208,SWY,SWY,"22, 22, 0, []",22,22,0,1,0
13410,79199R949,STLS.1,STLS,"19, 19, 0, []",19,19,0,1,0
13426,624591103,MSI.2,MSI,"27, 27, 0, []",27,27,0,1,1
13452,806857108,SLB,SLB,"24, 24, 0, []",24,24,0,1,0
13498,893888107,TRTI,TRTI,"5, 5, 0, []",5,5,0,1,0
13501,808757108,SCND,SCND,"11, 11, 0, []",11,11,0,1,0
13522,810202101,SLGD,SLGD,"22, 22, 0, []",22,22,0,1,0
13534,811543107,SEB,SEB,"27, 27, 0, []",27,27,0,1,0
13558,52186M108,LPTC,LPTC,"9, 9, 0, []",9,9,0,1,0
13567,81211K100,SEE,SEE,"24, 24, 0, []",24,24,0,1,0
13634,817732100,SVT,SVT,"12, 12, 0, []",12,12,0,1,0
13715,826552101,SIAL,SIAL,"22, 22, 0, []",22,22,0,1,0
13762,831865209,AOS,AOS,"27, 27, 0, []",27,27,0,1,0
13954,029899101,AWR,AWR,"22, 22, 0, []",22,22,0,1,0
14020,845331107,SWWC,SWWC,"16, 16, 0, []",16,16,0,1,0
14083,846819100,SPAR,SPAR,"24, 24, 0, []",24,24,0,1,0
14095,847220209,SEH,SEH,"19, 19, 0, []",19,19,0,1,0
14113,847615101,SPEC.2,SPEC,"16, 16, 0, []",16,16,0,1,0
14124,852312305,STAA,STAA,"25, 25, 0, []",25,25,0,1,0
14136,853373108,STDE,STDE,"2, 2, 0, []",2,2,0,1,0
14241,858586100,SCL,SCL,"27, 27, 0, []",27,27,0,1,0
14335,63938C108,NAVI,NAVI,"6, 6, 0, []",6,6,0,1,0
14398,86764P109,SUN.1,SUN,"8, 8, 0, []",8,8,0,1,0
14473,869380105,STRN,STRN,"7, 7, 0, []",7,7,0,1,0
14498,399807205,GROV,GROV,"3, 3, 0, []",3,3,0,1,0
14513,871565107,SYNL,SYNL,"25, 25, 0, []",25,25,0,1,0
14529,871829107,SYY,SYY,"26, 26, 0, []",26,26,0,1,0
14555,872375100,TE,TE,"22, 22, 0, []",22,22,0,1,0
14574,872479209,TIII,TIII,"18, 18, 0, []",18,18,0,1,0
14717,878895309,TECU,TECU,"22, 22, 0, []",22,22,0,1,0
14725,879080109,TRC,TRC,"25, 25, 0, []",25,25,0,1,0
14763,879369106,TFX,TFX,"27, 27, 0, []",27,27,0,1,0
14776,879433829,TDS,TDS,"22, 22, 0, []",22,22,0,1,0
14795,879868107,TIN,TIN,"18, 18, 0, []",18,18,0,1,0
14799,00209C102,AHNA,AHNA,"12, 12, 0, []",12,12,0,1,0
14813,880349105,TEN,TEN,"24, 24, 0, []",24,24,0,1,0
14917,882491103,TXI,TXI,"20, 20, 0, []",20,20,0,1,0
15015,884315102,TNB,TNB,"19, 19, 0, []",19,19,0,1,0
15020,885160101,THO,THO,"25, 25, 0, []",25,25,0,1,0
15033,885175307,THOR.1,THOR,"1, 1, 0, []",1,1,0,1,0
15068,83001A102,SIX,SIX,"25, 25, 0, []",25,25,0,1,0
15088,887389104,TKR,TKR,"27, 27, 0, []",27,27,0,1,0
15165,891050106,TRGL,TRGL,"16, 16, 0, []",16,16,0,1,0
15169,891092108,TTC,TTC,"26, 26, 0, []",26,26,0,1,0
15213,891906109,TSS,TSS,"24, 24, 0, []",24,24,0,1,0
15296,106764103,BZC,BZC,"22, 22, 0, []",22,22,0,1,0
15306,896047503,TRCO,TRCO,"20, 20, 0, []",20,20,0,1,0
15323,896259306,TMED,TMED,"12, 12, 0, []",12,12,0,1,0
15333,896522109,TRN,TRN,"26, 26, 0, []",26,26,0,1,0
15346,896712205,TRT,TRT,"25, 25, 0, []",25,25,0,1,0
15442,910047109,UAL,UAL,"26, 26, 0, []",26,26,0,1,0
15516,904708104,UNF,UNF,"26, 26, 0, []",26,26,0,1,0
15615,907818108,UNP,UNP,"26, 26, 0, []",26,26,0,1,0
15638,909218109,UNT,UNT,"25, 25, 0, []",25,25,0,1,0
15650,170032809,CQB,CQB,"22, 22, 0, []",22,22,0,1,0
15694,91324P102,UNH,UNH,"26, 26, 0, []",26,26,0,1,0
15728,902788108,UMBF,UMBF,"27, 27, 0, []",27,27,0,1,0
15826,296689102,ESND,ESND,"25, 25, 0, []",25,25,0,1,0
15842,913017109,UTX,UTX,"27, 27, 0, []",27,27,0,1,0
15867,80874P109,SGMS,SGMS,"25, 25, 0, []",25,25,0,1,0
15974,03840P102,ILA,ILA,"15, 15, 0, []",15,15,0,1,0
15975,918204108,VFC,VFC,"26, 26, 0, []",26,26,0,1,0
15999,014349104,AROX,AROX,"1, 1, 0, []",1,1,0,1,0
16017,920355104,VAL.1,VAL,"26, 26, 0, []",26,26,0,1,1
16053,92220P105,VAR,VAR,"26, 26, 0, []",26,26,0,1,0
16113,229904206,CUSI,CUSI,"14, 14, 0, []",14,14,0,1,0
16231,929236107,WDFC,WDFC,"25, 25, 0, []",25,25,0,1,0
16274,931427108,WBA,WBA,"5, 5, 0, []",5,5,0,1,0
16290,222892101,COVR,COVR,"20, 20, 0, []",20,20,0,1,0
16298,02153V102,ALTV,ALTV,"20, 20, 0, []",20,20,0,1,0
16317,384637104,GHC,GHC,"27, 27, 0, []",27,27,0,1,0
16454,643611106,GBR,GBR,"21, 21, 0, []",21,21,0,1,0
16487,958102105,WDC,WDC,"26, 26, 0, []",26,26,0,1,0
16510,16890B104,CHJI,CHJI,"9, 9, 0, []",9,9,0,1,0
16582,410315105,HNH,HNH,"23, 23, 0, []",23,23,0,1,0
16639,969493204,WMSI,WMSI,"12, 12, 0, []",12,12,0,1,0
16640,929297109,WMS.1,WMS,"5, 5, 0, []",5,5,0,1,0
16660,971807102,WL,WL,"15, 15, 0, []",15,15,0,1,0
16764,344849104,FL,FL,"23, 23, 0, []",23,23,0,1,0
16777,981811102,WOR,WOR,"26, 26, 0, []",26,26,0,1,0
16877,872540109,TJX,TJX,"26, 26, 0, []",26,26,0,1,0
16897,989701107,ZION,ZION,"27, 27, 0, []",27,27,0,1,0
16930,344057302,FLUX,FLUX,"12, 12, 0, []",12,12,0,1,0
16939,36077T207,FNCX,FNCX,"7, 7, 0, []",7,7,0,1,0
16949,688239201,OSK,OSK,"26, 26, 0, []",26,26,0,1,0
17148,426281101,JKHY,JKHY,"25, 25, 0, []",25,25,0,1,0
17163,073902108,BSC.1,BSC,"13, 13, 0, []",13,13,0,1,0
17180,045487105,ASB,ASB,"25, 25, 0, []",25,25,0,1,0
17249,919794107,VLY,VLY,"26, 26, 0, []",26,26,0,1,0
17288,09629F108,BXG,BXG,"22, 22, 0, []",22,22,0,1,0
17378,233269109,DPAC,DPAC,"7, 7, 0, []",7,7,0,1,0
17382,670006105,NOVL,NOVL,"18, 18, 0, []",18,18,0,1,0
17410,63888U108,NGVC,NGVC,"8, 8, 0, []",8,8,0,1,0
17456,124867102,CAWW,CAWW,"24, 24, 0, []",24,24,0,1,0
17469,899035505,TUES,TUES,"23, 23, 0, []",23,23,0,1,0
17501,77467X101,RMCF,RMCF,"5, 5, 0, []",5,5,0,1,0
17584,74930B105,RBB,RBB,"2, 2, 0, []",2,2,0,1,0
17650,87944M107,TLXTQ,TLXTQ,"3, 3, 0, []",3,3,0,1,0
17712,866810203,JAVA,JAVA,"16, 16, 0, []",16,16,0,1,0
17715,74144T108,TROW,TROW,"20, 20, 0, []",20,20,0,1,0
17741,637417106,NNN,NNN,"25, 25, 0, []",25,25,0,1,0
17767,594918104,MSFT,MSFT,"26, 26, 0, []",26,26,0,1,0
17842,983857103,XRIT,XRIT,"18, 18, 0, []",18,18,0,1,0
17931,00163U106,AMAG,AMAG,"25, 25, 0, []",25,25,0,1,0
17972,046224101,ASTE,ASTE,"25, 25, 0, []",25,25,0,1,0
18046,927926303,VGZ,VGZ,"21, 21, 0, []",21,21,0,1,0
18059,421933102,HMA,HMA,"17, 17, 0, []",17,17,0,1,0
18138,412822108,HOG,HOG,"27, 27, 0, []",27,27,0,1,0
18166,889478103,TOL,TOL,"26, 26, 0, []",26,26,0,1,0
18192,902952100,GROW,GROW,"25, 25, 0, []",25,25,0,1,0
18221,29286C107,EGL,EGL,"6, 6, 0, []",6,6,0,1,0
18259,813630100,CTON,CTON,"8, 8, 0, []",8,8,0,1,0
18293,366651107,IT,IT,"25, 25, 0, []",25,25,0,1,0
18308,942749102,WTS,WTS,"27, 27, 0, []",27,27,0,1,0
18321,74265M205,PDEX,PDEX,"11, 11, 0, []",11,11,0,1,0
18347,04276R109,ARWD,ARWD,"5, 5, 0, []",5,5,0,1,0
18353,981475106,INT,INT,"26, 26, 0, []",26,26,0,1,0
18365,353515109,FEP.1,FEP,"14, 14, 0, []",14,14,0,1,0
18439,790148100,JOE,JOE,"27, 27, 0, []",27,27,0,1,0
18463,416196202,HHS,HHS,"26, 26, 0, []",26,26,0,1,0
18496,35952W103,FSYS,FSYS,"10, 10, 0, []",10,10,0,1,0
18542,232437301,CYAN,CYAN,"23, 23, 0, []",23,23,0,1,0
18583,29261A100,EHC,EHC,"25, 25, 0, []",25,25,0,1,0
18596,913459301,UNDT,UNDT,"8, 8, 0, []",8,8,0,1,0
18630,12621E103,CNO,CNO,"17, 17, 0, []",17,17,0,1,0
18702,573075108,MRTN,MRTN,"26, 26, 0, []",26,26,0,1,0
18805,48666K109,KBH,KBH,"26, 26, 0, []",26,26,0,1,0
18861,00289Y107,ABEO,ABEO,"23, 23, 0, []",23,23,0,1,0
18873,03528H109,ANIX,ANIX,"25, 25, 0, []",25,25,0,1,0
18956,55235L203,LYRI,LYRI,"13, 13, 0, []",13,13,0,1,0
19003,717139307,PARS,PARS,"17, 17, 0, []",17,17,0,1,0
19008,8676EP108,STKL,STKL,"19, 19, 0, []",19,19,0,1,0
19053,539451104,LOJN,LOJN,"21, 21, 0, []",21,21,0,1,0
19069,21871D103,CLGX,CLGX,"25, 25, 0, []",25,25,0,1,0
19163,466032109,JJSF,JJSF,"25, 25, 0, []",25,25,0,1,0
19181,24664T103,DKL,DKL,"8, 8, 0, []",8,8,0,1,0
19191,14066K206,CAPI,CAPI,"6, 6, 0, []",6,6,0,1,0
19198,422347104,HTLD,HTLD,"25, 25, 0, []",25,25,0,1,0
19211,156782104,CERN,CERN,"26, 26, 0, []",26,26,0,1,0
19242,74838C106,ZQKSQ,ZQKSQ,"21, 21, 0, []",21,21,0,1,0
19275,205862402,CMVT,CMVT,"16, 16, 0, []",16,16,0,1,0
19310,86765K109,SUN,SUN,"8, 8, 0, []",8,8,0,1,1
19357,68554V108,OSUR,OSUR,"20, 20, 0, []",20,20,0,1,0
19370,380894105,GCGC,GCGC,"13, 13, 0, []",13,13,0,1,0
19405,75886X108,RGRX,RGRX,"16, 16, 0, []",16,16,0,1,0
19417,729132100,PLXS,PLXS,"25, 25, 0, []",25,25,0,1,0
19444,452926108,IOR,IOR,"23, 23, 0, []",23,23,0,1,0
19456,127537207,CDZI,CDZI,"25, 25, 0, []",25,25,0,1,0
19481,812362101,SHOS,SHOS,"7, 7, 0, []",7,7,0,1,0
19519,02319A109,AWGI,AWGI,"5, 5, 0, []",5,5,0,1,0
19528,058264102,BLD.2,BLD,"5, 5, 0, []",5,5,0,1,0
19571,87162G105,SYNO,SYNO,"17, 17, 0, []",17,17,0,1,0
19588,14754D100,CSH,CSH,"22, 22, 0, []",22,22,0,1,0
19680,42250P103,PEAK,PEAK,"27, 27, 0, []",27,27,0,1,0
19736,14067E506,CMO,CMO,"27, 27, 0, []",27,27,0,1,0
19779,456607100,IDMCQ,IDMCQ,"15, 15, 0, []",15,15,0,1,0
19877,452525306,ICCC,ICCC,"22, 22, 0, []",22,22,0,1,0
19908,111294104,BRST,BRST,"12, 12, 0, []",12,12,0,1,0
19963,204914402,CMPD,CMPD,"2, 2, 0, []",2,2,0,1,0
19968,800013104,SAFM,SAFM,"26, 26, 0, []",26,26,0,1,0
20161,127387108,CDNS,CDNS,"27, 27, 0, []",27,27,0,1,0
20213,09599W933,BDCO.1,BDCO,"18, 18, 0, []",18,18,0,1,0
20228,983909102,XETA,XETA,"12, 12, 0, []",12,12,0,1,0
20232,683797104,OPY,OPY,"25, 25, 0, []",25,25,0,1,0
20289,11132B202,BCAS,BCAS,"7, 7, 0, []",7,7,0,1,0
20335,264411505,DRE,DRE,"26, 26, 0, []",26,26,0,1,0
20384,118230101,BPL,BPL,"26, 26, 0, []",26,26,0,1,0
20411,41988L202,NNUTU,NNUTU,"23, 23, 0, []",23,23,0,1,0
20422,887100105,TBL,TBL,"18, 18, 0, []",18,18,0,1,0
20462,105368203,BDN,BDN,"25, 25, 0, []",25,25,0,1,0
