,cusip,tic,ticker,extraction_info,totals,extracted,errors,flag_tag,move_error
134176,462260100,IOVA,IOVA,"12, 12, 0, []",12,12,0,1,0
134414,G6891W101,PSOF,PSOF,"1, 1, 0, []",1,1,0,1,0
134518,78355W635,RTW.1,RTW,"15, 15, 0, []",15,15,0,1,1
134563,46131B100,IVR,IVR,"11, 11, 0, []",11,11,0,1,0
134585,60649T107,MG,MG,"10, 10, 0, []",10,10,0,1,0
134733,008368102,AGAM,AGAM,"1, 1, 0, []",1,1,0,1,0
134979,00507V109,ATVI,ATVI,"26, 26, 0, []",26,26,0,1,1
135005,52603B107,TREE,TREE,"12, 12, 0, []",12,12,0,1,0
135200,78463X657,IPK,IPK,"4, 4, 0, []",4,4,0,1,0
135314,337561104,WIND,WIND,"13, 13, 0, []",13,13,0,1,1
135367,55405W104,MYRG,MYRG,"17, 17, 0, []",17,17,0,1,0
135387,92345Y106,VRSK,VRSK,"11, 11, 0, []",11,11,0,1,0
135427,05381L101,AVIV,AVIV,"4, 4, 0, []",4,4,0,1,0
135441,205650104,COMS,COMS,"16, 16, 0, []",16,16,0,1,0
135475,050254101,ABBB,ABBB,"4, 4, 0, []",4,4,0,1,0
135669,043632108,ASCMA,ASCMA,"11, 11, 0, []",11,11,0,1,0
135694,582839106,MJN,MJN,"9, 9, 0, []",9,9,0,1,0
135884,92537A106,VRUS,VRUS,"5, 5, 0, []",5,5,0,1,1
135919,46138E792,PXR,PXR,"12, 12, 0, []",12,12,0,1,0
135931,25381B101,DMRC,DMRC,"12, 12, 0, []",12,12,0,1,1
135979,83002F100,SIXD,SIXD,"8, 8, 0, []",8,8,0,1,0
135987,032838104,ANCB,ANCB,"8, 8, 0, []",8,8,0,1,0
136253,12637A103,CCLP,CCLP,"8, 8, 0, []",8,8,0,1,0
136299,090678301,BSPM,BSPM,"9, 9, 0, []",9,9,0,1,0
136617,90346E103,SLCA,SLCA,"9, 9, 0, []",9,9,0,1,0
136654,00950G104,ASO,ASO,"13, 13, 0, []",13,13,0,1,0
136843,58471A105,MDSO,MDSO,"10, 10, 0, []",10,10,0,1,0
136855,00211Y506,ABIO,ABIO,"23, 23, 0, []",23,23,0,1,0
137053,76940Q105,RIVE,RIVE,"6, 6, 0, []",6,6,0,1,0
137121,745861104,PLSB,PLSB,"9, 9, 0, []",9,9,0,1,0
137181,67623C109,OPI,OPI,"11, 11, 0, []",11,11,0,1,0
137255,25501G105,DHCPQ,DHCPQ,"22, 22, 0, []",22,22,0,1,0
137805,46520M204,ISDR,ISDR,"14, 14, 0, []",14,14,0,1,0
137960,44055T108,HUG.,HUG,"12, 12, 0, []",12,12,0,1,0
138027,08662X109,HZD.,HZD,"12, 12, 0, []",12,12,0,1,0
138262,006739106,ADUS,ADUS,"10, 10, 0, []",10,10,0,1,0
138484,448579102,H,H,"11, 11, 0, []",11,11,0,1,0
138531,85571B105,STWD,STWD,"11, 11, 0, []",11,11,0,1,0
138574,71376C100,PERFQ,PERFQ,"22, 22, 0, []",22,22,0,1,0
138825,48238T109,KAR,KAR,"12, 12, 0, []",12,12,0,1,0
138882,682143102,OMER,OMER,"11, 11, 0, []",11,11,0,1,0
138898,83587F202,SRNE,SRNE,"12, 12, 0, []",12,12,0,1,0
