,cusip,tic,ticker,extraction_info,totals,extracted,errors
89833,71375U101,PRFT,PRFT,"15, 15, 2, ['06', '07']",15,15,2
89845,72820F103,PAZRF,PAZRF,"0, 0, 0, []",0,0,0
89853,139380109,CAPEQ,CAPEQ,"2, 2, 0, []",2,2,0
89855,05532D107,BLIAQ,BLIAQ,"12, 12, 0, []",12,12,0
89859,984305102,YDKN,YDKN,"11, 11, 0, []",11,11,0
89879,68243Q106,FLWS,FLWS,"21, 21, 0, []",21,21,0
89892,53216A106,QUOT.2,QUOT,"6, 6, 0, []",6,6,0
89895,005094107,ACTA,ACTA,"19, 19, 0, []",19,19,0
89906,46059T109,IIJIY,IIJIY,"0, 0, 0, []",0,0,0
89919,45326F207,ICNSQ,ICNSQ,"0, 0, 0, []",0,0,0
89920,62458M207,MOVE,MOVE,"15, 15, 0, []",15,15,0
89927,77316P101,ROFO,ROFO,"9, 9, 0, []",9,9,0
89932,899690101,TMWD,TMWD,"9, 9, 0, []",9,9,0
89933,29410K108,NWVCF,NWVCF,"0, 0, 0, []",0,0,0
89942,730843208,PCOM,PCOM,"0, 0, 0, []",0,0,0
89954,901166108,TWB,TWB,"10, 10, 2, ['03', '02']",10,10,2
89957,756577102,RHT,RHT,"20, 20, 0, []",20,20,0
89970,M56595149,IGLDF,IGLDF,"0, 0, 0, []",0,0,0
89982,404290108,HSEIF,HSEIF,"0, 0, 0, []",0,0,0
89987,64115T104,NTCT,NTCT,"20, 20, 0, []",20,20,0
90000,65336T104,NXTI,NXTI,"4, 4, 0, []",4,4,0
90003,01877R108,ARLP,ARLP,"21, 21, 0, []",21,21,0
90016,731094108,PTE,PTE,"17, 17, 0, []",17,17,0
90028,54344C105,LKST,LKST,"0, 0, 0, []",0,0,0
90037,74834T103,QSFT,QSFT,"13, 13, 0, []",13,13,0
90042,02599X936,9769B,9769B,"0, 0, 0, []",0,0,0
90049,536252109,LIOX,LIOX,"17, 17, 0, []",17,17,0
90058,66986W207,NOVA.1,NOVA,"1, 1, 0, []",1,1,0
90062,863834107,CUUHF,CUUHF,"0, 0, 0, []",0,0,0
90074,505447102,LAB,LAB,"12, 12, 0, []",12,12,0
90082,00699Z934,ATQ.2,ATQ,"0, 0, 0, []",0,0,0
90087,09248R103,BPS,BPS,"0, 0, 0, []",0,0,0
90095,09248T109,BSD,BSD,"0, 0, 0, []",0,0,0
90108,5777EP107,MAX.Z,MAXZ,"0, 0, 0, []",0,0,0
90110,P21148112,BCBHF,BCBHF,"0, 0, 0, []",0,0,0
90113,220874101,CJREF,CJREF,"1, 1, 1, ['02']",1,1,1
90126,00856P109,FBER,FBER,"0, 0, 0, []",0,0,0
90136,50187G104,LICT,LICT,"6, 6, 0, []",6,6,0
90148,011532108,AGI,AGI,"0, 0, 0, []",0,0,0
90161,57773Y209,MXGFF,MXGFF,"0, 0, 0, []",0,0,0
90173,243666104,DECTF,DECTF,"0, 0, 0, []",0,0,0
90175,048221105,ATBC,ATBC,"2, 2, 1, ['09']",2,2,1
90181,60742E205,MOBL.1,MOBL,"6, 6, 0, []",6,6,0
90184,469249205,JAXB,JAXB,"10, 10, 2, ['07', '08']",10,10,2
90200,45719V108,BCDH,BCDH,"0, 0, 0, []",0,0,0
90205,98411E106,XNS.Z,XNSZ,"0, 0, 0, []",0,0,0
90208,12699Z004,CVC1,CVC1,"0, 0, 0, []",0,0,0
90219,45299Y936,IMKI.1,IMKI,"0, 0, 0, []",0,0,0
90222,69399I930,7661B,7661B,"0, 0, 0, []",0,0,0
90228,78501P203,SWKH,SWKH,"20, 20, 0, []",20,20,0
90240,28225C806,EGAN,EGAN,"20, 20, 6, ['16', '15', '19', '18', '14', '17']",20,20,6
90253,45841V109,ININ,ININ,"5, 5, 0, []",5,5,0
90262,46059W102,HHHYL,HHHYL,"0, 0, 0, []",0,0,0
90267,56501R106,MFC,MFC,"0, 0, 0, []",0,0,0
90292,25525P107,DHC,DHC,"21, 21, 0, []",21,21,0
90316,896682200,TTPA,TTPA,"0, 0, 0, []",0,0,0
90320,46124K109,INV,INV,"0, 0, 0, []",0,0,0
90329,493308100,KEYN,KEYN,"14, 14, 0, []",14,14,0
90335,911268209,UNTD,UNTD,"15, 15, 0, []",15,15,0
90344,853606101,STLHF,STLHF,"0, 0, 0, []",0,0,0
90348,682129101,OMN,OMN,"21, 21, 1, ['01']",21,21,1
