,cusip,tic,ticker,extraction_info,totals,extracted,errors
0,000361105,AIR,AIR,"26, 26, 0, []",26,26,0
13,000886309,ADCT.1,ADCT,"18, 18, 0, []",18,18,0
17,001058205,IWKS,IWKS,"0, 0, 0, []",0,0,0
19,020813101,ALO.2,ALO,"14, 14, 0, []",14,14,0
20,02376R102,AAL,AAL,"27, 27, 2, ['08', '09']",27,27,2
32,125141101,CECE,CECE,"19, 19, 0, []",19,19,0
44,G3156P103,ASA,ASA,"0, 0, 0, []",0,0,0
68,002444107,AVX,AVX,"25, 25, 4, ['08', '07', '06', '09']",25,25,4
81,723484101,PNW,PNW,"27, 27, 0, []",27,27,0
93,002535300,AAN,AAN,"26, 26, 0, []",26,26,0
105,002824100,ABT,ABT,"27, 27, 0, []",27,27,0
117,81765M106,SERV.1,SERV,"6, 6, 0, []",6,6,0
122,98159J200,WDDD,WDDD,"13, 13, 2, ['09', '17']",13,13,2
134,004446100,ACETQ,ACETQ,"24, 24, 1, ['08']",24,24,1
146,617577101,MRCBF,MRCBF,"0, 0, 0, []",0,0,0
158,004616207,ACMTA,ACMTA,"0, 0, 0, []",0,0,0
170,004816104,ACU,ACU,"24, 24, 1, ['10']",24,24,1
182,022167100,AHIX,AHIX,"0, 0, 0, []",0,0,0
184,004930202,ATVI.1,ATVI,"26, 26, 0, []",26,26,0
186,05587G104,BKTI,BKTI,"25, 25, 4, ['18', '19', '17', '06']",25,25,4
198,006212104,ADX,ADX,"0, 0, 0, []",0,0,0
211,006351308,AE,AE,"24, 24, 24, ['01', '02', '15', '14', '19', '97', '96', '07', '99', '16', '09', '11', '98', '06', '12', '18', '00', '17', '10', '04', '03', '13', '08', '05']",24,24,24
223,007903107,AMD,AMD,"27, 27, 0, []",27,27,0
236,N07045102,ASMIY,ASMIY,"0, 0, 0, []",0,0,0
248,008015307,AIM.1,AIM,"23, 23, 5, ['13', '08', '18', '10', '07']",23,23,5
255,00817Y108,AET,AET,"18, 18, 3, ['08', '10', '09']",18,18,3
277,45169P106,IDAI,IDAI,"0, 0, 0, []",0,0,0
279,008474108,AEM,AEM,"0, 0, 0, []",0,0,0
292,009158106,APD,APD,"25, 25, 0, []",25,25,0
305,009207101,AIRT,AIRT,"24, 24, 4, ['08', '07', '06', '09']",24,24,4
318,010284008,EGN1,EGN1,"0, 0, 0, []",0,0,0
331,010392009,SO1,SO1,"0, 0, 0, []",0,0,0
343,011612702,ALAN,ALAN,"12, 12, 0, []",12,12,0
353,011659109,ALK,ALK,"27, 27, 0, []",27,27,0
366,049904105,ATRI,ATRI,"26, 26, 5, ['18', '10', '19', '09', '17']",26,26,5
378,013078100,ACV.1,ACV,"5, 5, 0, []",5,5,0
382,451713101,IKN,IKN,"14, 14, 0, []",14,14,0
384,57686G105,MATX,MATX,"26, 26, 18, ['97', '12', '03', '06', '11', '00', '05', '01', '08', '96', '02', '07', '04', '09', '13', '98', '10', '95']",26,26,18
396,014752109,ALX,ALX,"26, 26, 9, ['15', '14', '17', '12', '10', '11', '16', '13', '09']",26,26,9
426,015644107,AGMJF,AGMJF,"0, 0, 0, []",0,0,0
438,29666M006,0065A,0065A,"0, 0, 0, []",0,0,0
445,016230104,ALCO,ALCO,"25, 25, 2, ['06', '05']",25,25,2
458,016663205,ATPT,ATPT,"0, 0, 0, []",0,0,0
470,017175100,Y,Y,"27, 27, 7, ['10', '06', '08', '09', '12', '11', '07']",27,27,7
494,017361106,AYE,AYE,"18, 18, 0, []",18,18,0
498,438516106,HON,HON,"26, 26, 2, ['12', '11']",26,26,2
511,019645506,ALY,ALY,"16, 16, 0, []",16,16,0
515,83088M102,SWKS,SWKS,"26, 26, 0, []",26,26,0
528,020825600,APNI,APNI,"12, 12, 2, ['06', '05']",12,12,2
534,04273H104,GYLD,GYLD,"0, 0, 0, []",0,0,0
542,013817507,AA.3,AA,"4, 4, 0, []",4,4,0
551,023184203,3AMBEQ,3AMBEQ,"0, 0, 0, []",0,0,0
556,42809H107,HES,HES,"27, 27, 16, ['07', '15', '11', '12', '05', '19', '18', '20', '10', '17', '14', '06', '08', '13', '16', '09']",27,27,16
568,90341W108,LCC,LCC,"21, 21, 1, ['02']",21,21,1
574,023771009,AMR1,AMR1,"0, 0, 0, []",0,0,0
586,023586100,UHAL,UHAL,"26, 26, 6, ['95', '07', '96', '94', '06', '00']",26,26,6
599,024591406,ABLT,ABLT,"17, 17, 1, ['09']",17,17,1
611,073730103,BEAM.2,BEAM,"21, 21, 0, []",21,21,0
618,000957100,ABM,ABM,"26, 26, 0, []",26,26,0
631,74164M108,PRI,PRI,"10, 10, 0, []",10,10,0
655,46132L107,VBF,VBF,"0, 0, 0, []",0,0,0
668,025303108,2388B,2388B,"0, 0, 0, []",0,0,0
675,91734M103,ECOL,ECOL,"1, 1, 0, []",1,1,0
687,025537101,AEP,AEP,"26, 26, 6, ['06', '07', '04', '08', '09', '10']",26,26,6
700,025816109,AXP,AXP,"27, 27, 1, ['10']",27,27,1
726,025818006,AXP1,AXP1,"0, 0, 0, []",0,0,0
738,001055102,AFL,AFL,"27, 27, 4, ['06', '07', '05', '04']",27,27,4
762,026375105,AM.1,AM,"3, 3, 2, ['19', '18']",3,3,2
769,983024100,WYE,WYE,"16, 16, 0, []",16,16,0
771,026874784,AIG,AIG,"27, 27, 0, []",27,27,0
796,M52514102,HAIPF,HAIPF,"0, 0, 0, []",0,0,0
805,027284108,ALGI,ALGI,"15, 15, 0, []",15,15,0
812,92189F353,HYEM,HYEM,"0, 0, 0, []",0,0,0
820,38168R108,TEEE.,TEEE.,"0, 0, 0, []",0,0,0
827,363812108,HIST,HIST,"2, 2, 0, []",2,2,0
830,027904101,AMAC,AMAC,"5, 5, 2, ['08', '07']",5,5,2
834,028591105,ANAT,ANAT,"11, 11, 0, []",11,11,0
858,028740108,APFC,APFC,"19, 19, 0, []",19,19,0
865,028882108,AMPH.1,AMPH,"5, 5, 0, []",5,5,0
871,029174109,ARL,ARL,"18, 18, 0, []",18,18,0
895,029429107,ASEI,ASEI,"21, 21, 0, []",21,21,0
905,029595105,AMS,AMS,"24, 24, 0, []",24,24,0
917,029683109,AMSWA,AMSWA,"25, 25, 0, []",25,25,0
930,892893108,TT.2,TT,"11, 11, 0, []",11,11,0
932,030371108,AVD,AVD,"24, 24, 0, []",24,24,0
944,030710107,AMN.2,AMN,"19, 19, 1, ['12']",19,19,1
948,031100100,AME,AME,"20, 20, 0, []",20,20,0
961,031162100,AMGN,AMGN,"26, 26, 0, []",26,26,0
974,032015703,AMPLQ,AMPLQ,"0, 0, 0, []",0,0,0
984,032037103,AP,AP,"26, 26, 2, ['19', '94']",26,26,2
996,032159105,AXR,AXR,"26, 26, 0, []",26,26,0
1022,032654105,ADI,ADI,"26, 26, 2, ['02', '03']",26,26,2
1035,032657207,ALOG,ALOG,"24, 24, 1, ['00']",24,24,1
1046,032681207,ANLY,ANLY,"18, 18, 2, ['07', '06']",18,18,2
1052,032744104,ANEN,ANEN,"19, 19, 0, []",19,19,0
1059,034393108,ANDR,ANDR,"19, 19, 0, []",19,19,0
1071,034425108,ANDW,ANDW,"14, 14, 0, []",14,14,0
1072,034663104,AGL.1,AGL,"0, 0, 0, []",0,0,0
1074,034164103,ANDE,ANDE,"27, 27, 4, ['02', '03', '04', '01']",27,27,4
1087,G6359F103,NBR,NBR,"18, 18, 0, []",18,18,0
1099,035229103,BUD.2,BUD,"0, 0, 0, []",0,0,0
1100,57799S939,MXLP,MXLP,"0, 0, 0, []",0,0,0
1102,037411105,APA,APA,"27, 27, 16, ['08', '14', '12', '20', '16', '17', '19', '15', '11', '18', '10', '13', '07', '09', '06', '05']",27,27,16
1114,037637105,ASOE,ASOE,"0, 0, 0, []",0,0,0
1123,G0471F109,APAGF,APAGF,"20, 20, 14, ['97', '96', '14', '01', '00', '07', '98', '11', '99', '13', '95', '10', '09', '12']",20,20,14
1130,037598109,APOG,APOG,"26, 26, 0, []",26,26,0
1143,03799Y005,AEP1,AEP1,"0, 0, 0, []",0,0,0
1155,037833100,AAPL,AAPL,"26, 26, 0, []",26,26,0
1168,038222105,AMAT,AMAT,"26, 26, 0, []",26,26,0
1181,82935Q100,SSHZ,SSHZ,"0, 0, 0, []",0,0,0
1185,292765104,EPAC,EPAC,"26, 26, 0, []",26,26,0
1198,894648104,TREC,TREC,"25, 25, 1, ['10']",25,25,1
1210,038916201,AROBF,AROBF,"0, 0, 0, []",0,0,0
1215,00754B301,AOXY,AOXY,"12, 12, 10, ['11', '12', '15', '10', '09', '16', '14', '18', '13', '17']",12,12,10
1228,039483102,ADM,ADM,"27, 27, 15, ['01', '02', '10', '13', '09', '08', '03', '04', '14', '06', '15', '12', '11', '07', '05']",27,27,15
1241,039762109,ARDNA,ARDNA,"19, 19, 0, []",19,19,0
1247,040555005,PNW1,PNW1,"0, 0, 0, []",0,0,0
1259,03937C105,ARCB,ARCB,"27, 27, 0, []",27,27,0
1272,29364D001,ETR1,ETR1,"0, 0, 0, []",0,0,0
1284,042735100,ARW,ARW,"27, 27, 0, []",27,27,0
1297,043168103,ARTW,ARTW,"21, 21, 0, []",21,21,0
1310,043420108,AB.H,ABH,"0, 0, 0, []",0,0,0
1322,044186104,ASH,ASH,"4, 4, 2, ['17', '16']",4,4,2
1335,04599Y930,ASPN.1,ASPN,"6, 6, 0, []",6,6,0
1338,04638F108,ALOT,ALOT,"25, 25, 0, []",25,25,0
1351,046433108,ATRO,ATRO,"24, 24, 0, []",24,24,0
1363,046789400,ACLLF,ACLLF,"0, 0, 0, []",0,0,0
1375,84399X001,SO7,SO7,"0, 0, 0, []",0,0,0
1388,15799H931,CEVL,CEVL,"0, 0, 0, []",0,0,0
1390,050095108,ATW,ATW,"23, 23, 6, ['10', '95', '00', '01', '05', '04']",23,23,6
1400,761624105,REX,REX,"24, 24, 1, ['00']",24,24,1
1413,04621M300,ASAM,ASAM,"7, 7, 0, []",7,7,0
1418,052769106,ADSK,ADSK,"25, 25, 0, []",25,25,0
1431,252529102,DCAI,DCAI,"14, 14, 3, ['09', '07', '06']",14,14,3
1434,053015103,ADP,ADP,"26, 26, 1, ['19']",26,26,1
1447,24734R103,DSIIQ,DSIIQ,"13, 13, 0, []",13,13,0
1448,00234P102,AVHI,AVHI,"25, 25, 0, []",25,25,0
1459,053611109,AVY,AVY,"27, 27, 0, []",27,27,0
1472,053807103,AVT,AVT,"26, 26, 0, []",26,26,0
1485,054303102,AVP,AVP,"27, 27, 0, []",27,27,0
1497,002474104,AZZ,AZZ,"24, 24, 0, []",24,24,0
1510,110448107,BTI,BTI,"0, 0, 0, []",0,0,0
1522,055645303,BRT,BRT,"25, 25, 14, ['18', '06', '16', '07', '03', '12', '17', '11', '14', '08', '04', '15', '10', '05']",25,25,14
1546,055665103,PRSNQ,PRSNQ,"9, 9, 0, []",9,9,0
1554,056525108,BMI,BMI,"25, 25, 0, []",25,25,0
1567,057149106,BKR.1,BKR,"3, 3, 0, []",3,3,0
1573,057224107,BHI,BHI,"0, 0, 0, []",0,0,0
1583,057665200,BCPC,BCPC,"22, 22, 4, ['15', '16', '10', '08']",22,22,4
1595,057741100,BEZ,BEZ,"17, 17, 0, []",17,17,0
1598,74368L203,PTVCB,PTVCB,"24, 24, 1, ['08']",24,24,1
1622,058498106,BLL,BLL,"27, 27, 4, ['10', '08', '07', '06']",27,27,4
1635,210371100,CEG,CEG,"0, 0, 0, []",0,0,0
1640,733174700,BPOP,BPOP,"27, 27, 0, []",27,27,0
1666,062540109,BOH,BOH,"27, 27, 0, []",27,27,0
1692,05978A104,BTEC.1,BTEC,"0, 0, 0, []",0,0,0
1696,060077005,EMA1.,EMA1.,"0, 0, 0, []",0,0,0
1701,064058100,BK,BK,"13, 13, 0, []",13,13,0
1727,05564E106,BRE,BRE,"2, 2, 0, []",2,2,0
1741,303698104,FCHDQ,FCHDQ,"14, 14, 2, ['07', '08']",14,14,2
1742,067383109,BCR,BCR,"24, 24, 12, ['01', '07', '11', '02', '12', '05', '03', '04', '08', '10', '06', '09']",24,24,12
1752,067806109,B,B,"26, 26, 1, ['97']",26,26,1
1764,068221100,BRN,BRN,"15, 15, 0, []",15,15,0
1777,067901108,GOLD,GOLD,"0, 0, 0, []",0,0,0
1789,068798107,DFZ,DFZ,"20, 20, 0, []",20,20,0
1796,27099Q933,ESTE.1,ESTE,"11, 11, 1, ['09']",11,11,1
1804,070203104,BSET,BSET,"26, 26, 3, ['96', '95', '04']",26,26,3
1817,71799B937,6583B,6583B,"0, 0, 0, []",0,0,0
1823,071813109,BAX,BAX,"26, 26, 0, []",26,26,0
1835,07384R408,BRCOQ,BRCOQ,"0, 0, 0, []",0,0,0
1840,03820C105,AIT,AIT,"26, 26, 0, []",26,26,0
1853,169420205,CHSO,CHSO,"0, 0, 0, []",0,0,0
1858,075887109,BDX,BDX,"26, 26, 0, []",26,26,0
1871,65476M109,NICH,NICH,"13, 13, 0, []",13,13,0
1872,077347300,BELFB,BELFB,"25, 25, 3, ['06', '07', '08']",25,25,3
1885,07799Z938,4994B,4994B,"0, 0, 0, []",0,0,0
1889,92343V104,VZ,VZ,"27, 27, 0, []",27,27,0
1902,05534B760,BCE,BCE,"0, 0, 0, []",0,0,0
1914,078111200,BLLI,BLLI,"15, 15, 0, []",15,15,0
1918,080555105,BLC,BLC,"20, 20, 0, []",20,20,0
1924,081437105,BMS,BMS,"26, 26, 0, []",26,26,0
1936,082047101,BNHN,BNHN,"17, 17, 5, ['00', '98', '01', '02', '99']",17,17,5
1942,084670702,BRK.B,BRKB,"22, 22, 2, ['09', '10']",22,22,2
1966,086516101,BBY,BBY,"26, 26, 0, []",26,26,0
1979,090572207,BIO,BIO,"26, 26, 0, []",26,26,0
1992,80517Q100,SVNTQ,SVNTQ,"18, 18, 0, []",18,18,0
1998,09099P941,5938B,5938B,"0, 0, 0, []",0,0,0
2006,09067F107,3BTEL,3BTEL,"0, 0, 0, []",0,0,0
2010,84899R934,SPEX.2,SPEX,"21, 21, 1, ['18']",21,21,1
2016,655366508,NIMU,NIMU,"11, 11, 1, ['09']",11,11,1
2029,595074105,3MFLU,3MFLU,"0, 0, 0, []",0,0,0
2032,091797100,BDK,BDK,"17, 17, 1, ['94']",17,17,1
2035,092113109,BKH,BKH,"20, 20, 6, ['03', '08', '04', '01', '16', '07']",20,20,6
2048,529529109,LEXPQ,LEXPQ,"15, 15, 2, ['95', '96']",15,15,2
2050,093671105,HRB,HRB,"26, 26, 0, []",26,26,0
2063,G9402V109,VAL,VAL,"26, 26, 0, []",26,26,0
2075,095180105,BLT,BLT,"21, 21, 0, []",21,21,0
2084,096005301,BRRE,BRRE,"0, 0, 0, []",0,0,0
2096,096761101,BOBE,BOBE,"24, 24, 0, []",24,24,0
2107,097023105,BA,BA,"27, 27, 0, []",27,27,0
2120,67622P101,OMX,OMX,"20, 20, 2, ['01', '02']",20,20,2
2126,097698104,BOLT.1,BOLT,"19, 19, 0, []",19,19,0
2134,141597302,CDIC,CDIC,"8, 8, 0, []",8,8,0
2136,770323103,RHI,RHI,"27, 27, 0, []",27,27,0
2149,60899Z001,0141A,0141A,"0, 0, 0, []",0,0,0
2161,67019E107,NST,NST,"14, 14, 0, []",14,14,0
2166,76117W109,RFP,RFP,"13, 13, 0, []",13,13,0
2179,761655604,REXMY,REXMY,"0, 0, 0, []",0,0,0
2188,293847109,ENTP,ENTP,"0, 0, 0, []",0,0,0
2192,102565108,BWL.A,BWLA,"25, 25, 0, []",25,25,0
2205,963801105,WEDC,WEDC,"15, 15, 0, []",15,15,0
2208,103043105,BNE,BNE,"17, 17, 1, ['00']",17,17,1
2211,104674106,BRC,BRC,"26, 26, 0, []",26,26,0
2224,112585104,BAM,BAM,"0, 0, 0, []",0,0,0
2248,107336109,BRER,BRER,"13, 13, 0, []",13,13,0
2250,108763103,BRID,BRID,"25, 25, 0, []",25,25,0
2263,109043109,BGG,BGG,"26, 26, 0, []",26,26,0
2276,553570102,MSGI,MSGI,"12, 12, 1, ['06']",12,12,1
2280,110122108,BMY,BMY,"27, 27, 0, []",27,27,0
2292,14889B102,CYSTQ,CYSTQ,"0, 0, 0, []",0,0,0
2301,87971M103,TU,TU,"0, 0, 0, []",0,0,0
2314,055622104,BP,BP,"0, 0, 0, []",0,0,0
2327,05577E101,BTY10,BTY10,"0, 0, 0, []",0,0,0
2340,055966402,BNSSA,BNSSA,"11, 11, 0, []",11,11,0
2345,115637209,BF.B,BFB,"26, 26, 0, []",26,26,0
2358,129500104,CAL,CAL,"26, 26, 2, ['07', '06']",26,26,2
2371,117043109,BC,BC,"27, 27, 2, ['05', '06']",27,27,2
2384,576690101,MTRN,MTRN,"20, 20, 0, []",20,20,0
2397,34960D108,FRTN,FRTN,"0, 0, 0, []",0,0,0
2398,121579932,0015B,0015B,"0, 0, 0, []",0,0,0
2406,16952R104,CXEE,CXEE,"0, 0, 0, []",0,0,0
2413,08499Z004,BRK3,BRK3,"0, 0, 0, []",0,0,0
2425,576323109,MTZ,MTZ,"27, 27, 3, ['99', '97', '98']",27,27,3
2437,909214306,UIS,UIS,"27, 27, 0, []",27,27,0
2449,123720104,BUKS,BUKS,"24, 24, 2, ['05', '02']",24,24,2
2462,124765108,CAE,CAE,"0, 0, 0, []",0,0,0
2475,53815P108,RAMP,RAMP,"25, 25, 4, ['05', '04', '06', '03']",25,25,4
2488,125010108,CCBL,CCBL,"13, 13, 0, []",13,13,0
2489,125071100,CDI,CDI,"23, 23, 1, ['11']",23,23,1
2499,125523100,CI,CI,"2, 2, 0, []",2,2,0
2524,125902106,CPICQ,CPICQ,"19, 19, 3, ['07', '06', '11']",19,19,3
2530,125906107,CSS,CSS,"24, 24, 0, []",24,24,0
2543,126117100,CNA,CNA,"27, 27, 0, []",27,27,0
2567,126389105,CSPI,CSPI,"25, 25, 0, []",25,25,0
2580,126408103,CSX,CSX,"27, 27, 7, ['96', '09', '97', '95', '98', '94', '08']",27,27,7
2593,126501105,CTS,CTS,"27, 27, 6, ['05', '06', '08', '10', '09', '11']",27,27,6
2606,87969B937,6534C,6534C,"0, 0, 0, []",0,0,0
2618,126601103,CVV,CVV,"11, 11, 0, []",11,11,0
2630,42222L107,HTRN,HTRN,"8, 8, 0, []",8,8,0
2633,127055101,CBT,CBT,"26, 26, 1, ['02']",26,26,1
2646,127150308,CACH,CACH,"19, 19, 0, []",19,19,0
2653,127190304,CACI,CACI,"26, 26, 1, ['01']",26,26,1
2666,12721E102,CDSCY,CDSCY,"0, 0, 0, []",0,0,0
2668,127703106,CAGAQ,CAGAQ,"0, 0, 0, []",0,0,0
2673,128126109,CAMP,CAMP,"24, 24, 0, []",24,24,0
2686,130199102,CAEN,CAEN,"0, 0, 0, []",0,0,0
2687,62299A008,0176A,0176A,"0, 0, 0, []",0,0,0
2711,50048Y104,KRED,KRED,"0, 0, 0, []",0,0,0
2716,130788102,CWT,CWT,"23, 23, 0, []",23,23,0
2728,134422609,CBLRF,CBLRF,"0, 0, 0, []",0,0,0
2729,134429109,CPB,CPB,"26, 26, 0, []",26,26,0
2742,564905107,MLFNF,MLFNF,"0, 0, 0, []",0,0,0
2754,136375102,CNI,CNI,"0, 0, 0, []",0,0,0
2767,65334H102,NXY,NXY,"9, 9, 2, ['05', '02']",9,9,2
2773,13645T100,CP,CP,"5, 5, 0, []",5,5,0
2786,136681202,CDNAF,CDNAF,"0, 0, 0, []",0,0,0
2799,21036P108,STZ,STZ,"26, 26, 4, ['04', '07', '06', '05']",26,26,4
2812,138006309,CAJ,CAJ,"0, 0, 0, []",0,0,0
2824,140430109,CPTP,CPTP,"14, 14, 0, []",14,14,0
2836,14149Y108,CAH,CAH,"26, 26, 4, ['17', '19', '16', '15']",26,26,4
2849,142339100,CSL,CSL,"27, 27, 0, []",27,27,0
2862,40281L109,ASWRF,ASWRF,"0, 0, 0, []",0,0,0
2874,26499B009,DUK8,DUK8,"0, 0, 0, []",0,0,0
2886,144285103,CRS,CRS,"26, 26, 1, ['01']",26,26,1
2899,145744009,TAST1,TAST1,"0, 0, 0, []",0,0,0
2903,147195101,CASC.2,CASC,"11, 11, 0, []",11,11,0
2910,147528103,CASY,CASY,"26, 26, 0, []",26,26,0
2923,148411309,CTAM,CTAM,"27, 27, 0, []",27,27,0
2935,256603101,DOLE,DOLE,"20, 20, 2, ['04', '05']",20,20,2
2941,149123101,CAT,CAT,"27, 27, 17, ['08', '06', '10', '20', '18', '12', '13', '09', '17', '07', '02', '19', '14', '03', '16', '11', '04']",27,27,17
2954,149205106,CATO,CATO,"25, 25, 0, []",25,25,0
2967,149568107,CVCO,CVCO,"18, 18, 0, []",18,18,0
2980,749552105,RFIL,RFIL,"12, 12, 12, ['17', '19', '12', '13', '18', '10', '15', '18', '09', '11', '16', '14']",12,12,12
2993,00752H102,ABAT,ABAT,"5, 5, 0, []",5,5,0
2997,152312104,CTX.2,CTX,"16, 16, 0, []",16,16,0
3000,05946K002,BBVA1,BBVA1,"0, 0, 0, []",0,0,0
3024,15459P108,CTNR,CTNR,"0, 0, 0, []",0,0,0
3034,12541M102,CHG,CHG,"15, 15, 2, ['10', '08']",15,15,2
3040,153645007,AES2,AES2,"0, 0, 0, []",0,0,0
3043,12561W105,CNL,CNL,"21, 21, 10, ['05', '02', '07', '03', '10', '06', '08', '11', '09', '04']",21,21,10
3052,025537002,AEP11,AEP11,"0, 0, 0, []",0,0,0
3061,155411101,CSTW,CSTW,"0, 0, 0, []",0,0,0
3072,155771108,CV,CV,"19, 19, 6, ['07', '04', '11', '08', '09', '10']",19,19,6
3077,156700106,CTL,CTL,"27, 27, 1, ['06']",27,27,1
3089,156710105,CRDN,CRDN,"17, 17, 0, []",17,17,0
3094,23254K100,CYDI,CYDI,"17, 17, 0, []",17,17,0
3101,157228107,CHADQ,CHADQ,"13, 13, 0, []",13,13,0
3103,90499X932,3089B,3089B,"0, 0, 0, []",0,0,0
3113,158496109,CJHBQ,CJHBQ,"0, 0, 0, []",0,0,0
3115,161133103,CHRS.1,CHRS,"6, 6, 0, []",6,6,0
3121,559079207,MGLN,MGLN,"27, 27, 1, ['95']",27,27,1
3133,138098108,CMD,CMD,"25, 25, 0, []",25,25,0
3146,162456107,CHTT,CHTT,"16, 16, 3, ['07', '06', '08']",16,16,3
3149,24712X106,DLPX,DLPX,"13, 13, 0, []",13,13,0
3150,162825103,CKP,CKP,"23, 23, 0, []",23,23,0
3159,16359R103,CHE,CHE,"27, 27, 0, []",27,27,0
3172,46625H100,JPM,JPM,"27, 27, 0, []",27,27,0
3198,165159104,CSKEQ,CSKEQ,"15, 15, 3, ['02', '04', '03']",15,15,3
3200,165303108,CPK,CPK,"26, 26, 5, ['06', '02', '04', '07', '03']",26,26,5
3212,15117N503,CLSN,CLSN,"23, 23, 1, ['19']",23,23,1
3224,166764100,CVX,CVX,"27, 27, 0, []",27,27,0
3236,168088102,CVR,CVR,"24, 24, 2, ['19', '18']",24,24,2
3248,168628105,CFCM,CFCM,"0, 0, 0, []",0,0,0
3250,109641100,EAT,EAT,"26, 26, 0, []",26,26,0
3263,171232101,CB.1,CB,"24, 24, 0, []",24,24,0
3279,171340102,CHD,CHD,"26, 26, 6, ['16', '15', '20', '17', '19', '18']",26,26,6
3292,171366107,1686B,1686B,"0, 0, 0, []",0,0,0
3295,171484108,CHDN,CHDN,"25, 25, 2, ['06', '03']",25,25,2
3307,171607104,CHYR,CHYR,"20, 20, 0, []",20,20,0
3314,171794001,AES1,AES1,"0, 0, 0, []",0,0,0
3316,171871502,CBB,CBB,"27, 27, 1, ['02']",27,27,1
3328,172070005,CIN1,CIN1,"0, 0, 0, []",0,0,0
3340,598709301,MZIAQ,MZIAQ,"15, 15, 2, ['01', '02']",15,15,2
3341,172529109,CPCI,CPCI,"8, 8, 0, []",8,8,0
3342,172737108,CCTYQ,CCTYQ,"0, 0, 0, []",0,0,0
3344,172743205,CRLI,CRLI,"0, 0, 0, []",0,0,0
3345,172908105,CTAS,CTAS,"26, 26, 1, ['07']",26,26,1
3358,174420307,CRBC,CRBC,"18, 18, 0, []",18,18,0
3370,178566105,CYN,CYN,"22, 22, 0, []",22,22,0
3386,179584107,CLE,CLE,"24, 24, 2, ['01', '00']",24,24,2
3387,179895107,CLC,CLC,"24, 24, 0, []",24,24,0
3397,45174J509,IHRT,IHRT,"12, 12, 0, []",12,12,0
3409,185899101,CLF,CLF,"27, 27, 5, ['00', '04', '01', '03', '02']",27,27,5
3421,18725U109,CLDA,CLDA,"10, 10, 0, []",10,10,0
3425,189054109,CLX,CLX,"26, 26, 12, ['94', '19', '95', '97', '99', '98', '96', '09', '01', '00', '04', '03']",26,26,12
3438,016437105,COHM,COHM,"15, 15, 3, ['06', '07', '08']",15,15,3
3441,190345108,CRV,CRV,"20, 20, 0, []",20,20,0
3449,30705R303,FMYR,FMYR,"2, 2, 0, []",2,2,0
3458,191098102,COKE,COKE,"27, 27, 0, []",27,27,0
3470,191216100,KO,KO,"27, 27, 0, []",27,27,0
3483,192108504,CDE,CDE,"26, 26, 0, []",26,26,0
3495,88409U105,THNKQ,THNKQ,"13, 13, 1, ['08']",13,13,1
3496,192479103,COHR,COHR,"26, 26, 0, []",26,26,0
3509,192576106,COHU,COHU,"24, 24, 0, []",24,24,0
3521,68234X102,OMED,OMED,"6, 6, 0, []",6,6,0
3531,194162103,CL,CL,"27, 27, 1, ['10']",27,27,1
3543,68812R303,OSCIQ,OSCIQ,"14, 14, 6, ['96', '98', '97', '99', '02', '00']",14,14,6
3545,12504V107,CCOM,CCOM,"0, 0, 0, []",0,0,0
3557,196522007,CGP1,CGP1,"0, 0, 0, []",0,0,0
3569,16150R104,CCF,CCF,"25, 25, 0, []",25,25,0
3582,199575002,AEP8,AEP8,"0, 0, 0, []",0,0,0
3586,200080109,CMRO,CMRO,"22, 22, 0, []",22,22,0
3597,G0408V102,AON,AON,"26, 26, 0, []",26,26,0
3623,20030N101,CMCSA,CMCSA,"18, 18, 2, ['08', '09']",18,18,2
3636,200334100,CDCO,CDCO,"14, 14, 0, []",14,14,0
3645,200340107,CMA,CMA,"27, 27, 0, []",27,27,0
3671,200525103,CBSH,CBSH,"25, 25, 2, ['20', '02']",25,25,2
3697,200654101,CGCO,CGCO,"16, 16, 0, []",16,16,0
3701,172967424,C,C,"27, 27, 10, ['05', '06', '20', '18', '14', '13', '15', '17', '19', '16']",27,27,10
3725,201723103,CMC,CMC,"26, 26, 0, []",26,26,0
3738,126431105,CTIG,CTIG,"7, 7, 0, []",7,7,0
3746,203900105,JCS,JCS,"24, 24, 2, ['17', '13']",24,24,2
3758,053774105,CAR,CAR,"25, 25, 1, ['11']",25,25,1
3770,204237309,3CMUC,3CMUC,"0, 0, 0, []",0,0,0
3771,204620207,CHCR,CHCR,"23, 23, 0, []",23,23,0
3779,12673P105,CA,CA,"25, 25, 1, ['00']",25,25,1
3791,23355L106,DXC,DXC,"2, 2, 0, []",2,2,0
3804,205477102,CTG,CTG,"24, 24, 0, []",24,24,0
3816,205826209,CMTL,CMTL,"25, 25, 0, []",25,25,0
3829,205887102,CAG,CAG,"26, 26, 0, []",26,26,0
3842,904197308,UMAX,UMAX,"0, 0, 0, []",0,0,0
3845,205908304,CHZS,CHZS,"13, 13, 0, []",13,13,0
3847,205914203,CMTX,CMTX,"12, 12, 1, ['06']",12,12,1
3850,754198109,RAVE,RAVE,"24, 24, 9, ['01', '04', '98', '97', '99', '02', '00', '03', '96']",24,24,9
3863,825690100,SSTK,SSTK,"8, 8, 0, []",8,8,0
3873,52466B103,LGZ,LGZ,"0, 0, 0, []",0,0,0
3875,207597006,NU1,NU1,"0, 0, 0, []",0,0,0
3887,207797101,CTWS,CTWS,"25, 25, 0, []",25,25,0
3899,208254862,CNLG,CNLG,"9, 9, 0, []",9,9,0
